"id","subproduct_id","subproduct_name","product_name","question","answer","language","tag","link","question_id","data_type","date"
5666,7,"JuniorBank","Карты","#juniorcard балалар картасын толтыру лимиті қандай?","#juniorcard балалар картасын толықтыруға лимит жоқ.","kz","limits","https://kb.apps.bcc.kz/pages/viewpage.action?pageId=210167529","65075075-0eee-45d3-8701-002c17eff034","confluence","2025-04-22 16:56:13"
168901,56,"Smart_QR","Smart QR","Какие условия, чтобы получить Smart QR для физ. лиц?","Для получения Smart QR физическим лицам необходимо иметь: \n-стабильный заработок, \n-подтверждённый доход, \n-стаж работы на последнем месте не менее 6 месяцев, \n-работать по найму или иметь собственный бизнес.","ru","undefined","https://kb.apps.bcc.kz/pages/viewpage.action?pageId=239077632","431d2509-40c5-468e-99b0-b93ae10ae561","confluence","2025-04-15 09:37:05.065023"
5659,7,"JuniorBank","Карты","Какие преимущества у карты #juniorcard?","Инновационный продукт #juniorcard для детей (с 6 до 18 лет) дает возможность самостоятельно управлять своими финансами, зарабатывать кэшбэки и совершать платежи.\n \u25aaПокупки с карты доступны только в разрешенных категориях до 18 лет.\n \u25aa Бесплатные SMS/PUSH уведомления на телефон ребенка и родителя\n \u25aa Все операции можно отслеживать через мобильное приложение BCC.KZ.\n \u25aa Открыть детскую карту #juniorcard можно двумя способами: \n1. В отделениях нашего Банка. \n2. Виртуальную карту с помощью мобильного приложения BCC.KZ. \n \nПодробнее о карте #juniorcard на сайте bcc.kz: https://www.bcc.kz/juniorbank/","ru","description","https://kb.apps.bcc.kz/pages/viewpage.action?pageId=210162862","f6fd98a3-119e-4c57-ab04-2c3b2b6d26f5","confluence","2025-02-03 11:47:02"
168907,56,"Smart_QR","Smart QR","Условия займа Smart QR","Займ через Smart QR предоставляется: \n \u25abФизическим лицам — резидентам РК от 21 до 65 лет. \n \u25abСумма займа — от 20 000 до 3 000 000 тенге, срок — от 3 до 42 месяцев, валюта — тенге. \n \u25abМетод погашения — ежемесячно, аннуитетный метод или метод дифференцированных платежей. \n \u25abДосрочное погашение - разрешено. \n \u25abНеустойка при просрочке — 0,5% в день.","ru","undefined","https://kb.apps.bcc.kz/pages/viewpage.action?pageId=239077505","305032f7-e4ac-4811-8477-a5ab58d96578","confluence","2025-04-15 09:39:13.143033"
3465,0,"BlackEdition","Карты","Какие типы валют поддерживает карта #blackedition?","Валюта ведения счета по карте #blackedition: KZT (основной счет), можно привязать к карте валютные счета в USD и EUR (открытие/привязка валютных счетов в BCC.KZ).","ru","issues","https://kb.apps.bcc.kz/pages/viewpage.action?pageId=225205272","da8f4ddf-5ab5-4a36-890f-982413f25b10","confluence","2025-02-10 14:26:29"
3466,0,"BlackEdition","Карты","#blackedition картасында қандай валюта түрлері бар?","#blackedition картасы бойынша шотты жүргізу валютасы: KZT (негізгі шот), картаға USD және EUR валюталық шоттарын тіркеуге болады (валюталық шоттарды ашу/байланыстыру BCC.KZ-те).","kz","issues","https://kb.apps.bcc.kz/pages/viewpage.action?pageId=225205272","da8f4ddf-5ab5-4a36-890f-982413f25b10","confluence","2025-02-10 14:26:29"
168910,51,"Metal","Сбережения","Металл шотты қалай ашуға болады?","Металл шотын ашу үшін келесі қадамдарды орындаңыз: \n \u21C0bcc.kz мобильді қосымшасын жүктеп алыңыз \u21C0«Жаңа шот немесе өнім» бөлімін таңдаңыз \u21C0«Металдарды сатып алу» қойындысына өтіп, нұсқауларды орындаңыз. \nБанк шотты ашудан немесе операцияларды жүргізуден бас тартуы мүмкін екенін ескеріңіз, егер бұл ҚР заңнамасына немесе шарт талаптарына қайшы келсе. \nЕгер Сізде ашық ағымдағы шот болса, салықтық қарыз болған жағдайда металл шотын ашуға болады. Алайда, егер ағымдағы шот жоқ болса, салықтық қарыз болған жағдайда металл шотын ашу мүмкін емес.","kz","undefined","https://kb.apps.bcc.kz/pages/viewpage.action?pageId=195269158","ce893c23-eca2-4fce-855b-8da072491f78","confluence","2025-04-15 09:39:26.515817"
168912,56,"Smart_QR","Smart QR","Smart QR арқылы несиені қалай алуға болады?","\n \u25abSmart QR арқылы қарызды 3–5 минут ішінде, банкке бармай және қағаз құжаттарсыз рәсімдеуге болады. \n \u25abСмартфон және QR-кодқа, сілтемеге немесе серіктестің сайтына қолжетімділік жеткілікті. \n \u25abБарлық құжаттар онлайн ЭЦҚ арқылы қол қойылады, 24/7 қолжетімді, тіпті жаңа клиенттер үшін де.","kz","undefined","https://kb.apps.bcc.kz/pages/viewpage.action?pageId=239077426","c0a95c42-cea1-428f-aedf-a37fb22bc9c3","confluence","2025-04-15 09:39:31.53805"
168981,15,"Koronapay","Переводы","Каковы условия перевода Золотая корона?","Условия перевода Золотая корона: \n \u25aa Максимальная сумма перевода: \n- 3 500 000 KZT, \n- 10 000 USD, \n- 600 000 RUB, \n- 8 000 EUR. \n \u25aa Переводы выполняются в валютах: \n- RUB, \n- USD, \n- EUR, \n- KZT. \n \u25aa Виды тарифов: \n- 0% за переводы с конвертацией, \n- до 1,5% в других случаях согласно тарифам «Золотая Корона». \n \u25aa Скорость доставки перевода: через несколько секунд после его отправки. \n \nПодробная информация на сайте BCC.KZ - https://www.bcc.kz/personal/transfers/zolotaya-korona/","ru","opening","https://kb.apps.bcc.kz/pages/viewpage.action?pageId=191876230","a6c16ef5-da3b-4922-8db1-f2907f65177f","confluence","2025-04-22 17:03:03"
5861,8,"UlkengeKurmet","Карты","Какой процент кэшбэка по карте #ҮлкенгеҚұрмет?","По карте #ҮлкенгеҚұрмет Вы сможете получить кэшбэк за покупки в следующих категориях: \n \u25ab 2% за покупки в категории «продукты и супермаркеты»; \n \u25ab 2% за покупки в категории «аптеки и оптики»; \n \u25ab 2% за покупки в категории «медицинские услуги».","ru","cashback","https://kb.apps.bcc.kz/pages/viewpage.action?pageId=210151729","dffd8561-a273-4282-95e3-da3854d1a1f9","confluence","2025-02-19 11:27:13"
5660,7,"JuniorBank","Карты","#juniorcard картасының қандай артықшылықтары бар?","Балаларға арналған #juniorcard инновациялық өнімі (6 жастан 18 жасқа дейін) өз қаржысын өз бетінше басқаруға, кэшбэк жинауға және төлемдер жасауға мүмкіндік береді.\n \u25aaКартадан сатып алу тек 18 жасқа дейінгі рұқсат етілген санаттарда қол жетімді.\n \u25aa SMS/PUSH хабарландырулары бала мен ата-ананың телефонына тегін. \n \u25aa Барлық операцияларды BCC.KZ мобильді қосымшасы арқылы бақылауға болады.\n \u25aa #juniorcard балалар картасын ашудың екі жолы бар: \n1. Біздің Банктің бөлімшелерінде. \n2. BCC.KZ мобильді қосымшасы арқылы виртуалды картаны. \n \n#juniorcard картасы туралы толығырақ bcc.kz сайтта: https://www.bcc.kz/juniorbank/","kz","description","https://kb.apps.bcc.kz/pages/viewpage.action?pageId=210162862","f6fd98a3-119e-4c57-ab04-2c3b2b6d26f5","confluence","2025-02-03 11:47:02"
168902,56,"Smart_QR","Smart QR","Жеке тұлғалар үшін Smart QR алудың шарттары қандай?","Smart QR алу үшін жеке тұлғаларға: \n-тұрақты жалақы, \n-расталған кіріс, \n-соңғы жұмыс орнында кемінде 6 ай жұмыс өтілі қажет, \n-жалдамалы жұмысшы немесе өз бизнесіне ие болуы керек.","kz","undefined","https://kb.apps.bcc.kz/pages/viewpage.action?pageId=239077632","431d2509-40c5-468e-99b0-b93ae10ae561","confluence","2025-04-15 09:37:05.115391"
168903,56,"Smart_QR","Smart QR","Какие ставки вознаграждения по займам Smart QR?","По стандартным займам Smart QR ставка вознаграждения составляет: \n \u25abна 3 месяца — ставка 34%, ГЭСВ 41,6%, \n \u25abна 6 месяцев — 37%, ГЭСВ 45,0%, \n \u25abна 12 месяцев — 40%, ГЭСВ 48,7%, \n \u25abна 24 месяца — 41%, ГЭСВ 49,8%, \n \u25abна 42 месяца — 42%, ГЭСВ 51,2%. \nСтавки вознаграждения по займам в рассрочку —  0.01%, вне зависимости от срока.","ru","undefined","https://kb.apps.bcc.kz/pages/viewpage.action?pageId=239077909","5f7145b4-cee7-4064-81a2-fbe38b32f965","confluence","2025-04-15 09:38:02.480262"
6931,52,"DragonCard","Карты","Какова комиссия за безналичные платежи через банкоматы/ИПТ с картой #DragonCard?","Комиссия за безналичные платежи через банкоматы/ИПТ с картой #DragonCard стоят 50 KZT за операцию.","ru","payments","https://kb.apps.bcc.kz/pages/viewpage.action?pageId=245186271","5a4fe429-01f8-4872-8e57-f231a1897897","confluence","2025-04-25 17:16:29"
168905,56,"Smart_QR","Smart QR","Что такое Smart QR?","Smart QR — это удобный сервис, позволяющий оформить рассрочку всего за 3 минуты прямо в магазине, без бумажных документов и ожидания. \nДля партнёров — это инструмент, который помогает развивать бизнес, увеличивая продажи за счёт быстрого и простого оформления рассрочки для клиентов.","ru","undefined","https://kb.apps.bcc.kz/pages/viewpage.action?pageId=239077602","e44652c7-0448-4ceb-9ae5-6dcfff9b1631","confluence","2025-04-15 09:38:26.384519"
21299,52,"DragonCard","Карты","БЦК бөлімшелерінде #DragonCard картасын толықтыру үшін қандай опциялар қолжетімді?","ЦентрКредит Банкінің бөлімшелерінде #DragonCard картасын келесі жолдармен толықтыруға болады: \n \u25ab банктің терминалдарында, \n \u25ab банктің Cash In функциясы бар банкоматтарында, \n \u25ab касса арқылы.","kz","financials","https://kb.apps.bcc.kz/pages/viewpage.action?pageId=245185821","bc81288d-6bf1-423e-a795-9dc5c91a57cc","confluence","2025-02-14 09:55:40.952652"
169467,22,"Ipoteka_DDU","Кредиты","Какие сроки кредитования по #Ипотеке ДДУ?","Срок кредитования по Ипотеке ДДУ составляет от 36 до 180 месяцев, а по партнерским программам с застройщиками - от 3 месяцев до 180 месяцев.","ru","undefined","https://kb.apps.bcc.kz/pages/viewpage.action?pageId=225186197","117e339f-ed07-4a3e-90d3-84cdced10710","confluence","2025-04-17 12:25:38.015409"
169468,22,"Ipoteka_DDU","Кредиты","#ҮҚШ Ипотека бойынша несие мерзімдері қандай?","ҮҚШ Ипотекасы бойынша несие беру мерзiмi 36 айдан 180 айға дейiн, ал құрылыс салушылармен серіктестік бағдарламалар бойынша - 3 айдан 180 айға дейiн құрайды.","kz","undefined","https://kb.apps.bcc.kz/pages/viewpage.action?pageId=225186197","117e339f-ed07-4a3e-90d3-84cdced10710","confluence","2025-04-17 12:25:38.094895"
21301,52,"DragonCard","Карты","SWIFT жүйесі арқылы #DragonCard картасына ақша аудару мүмкін бе?","#DragonCard картасын SWIFT халықаралық аударымдар жүйесі арқылы толықтыруға болады.","kz","financials","https://kb.apps.bcc.kz/pages/viewpage.action?pageId=245185821","cc6c7a54-b1ea-46dd-a2ce-04f7e4a644b2","confluence","2025-02-14 09:56:28.397985"
21303,52,"DragonCard","Карты","#DragonCard картасын толықтыру үшін BCC.KZ қосымшасын қалай пайдалану керек?","BCC.KZ қосымшасында #DragonCard картасын ЦентрКредит Банкінің депозитінен/ шотынан/ картасынан немесе басқа банк картасынан толықтыруға болады.","kz","financials","https://kb.apps.bcc.kz/pages/viewpage.action?pageId=245185821","17581e4b-6547-43a3-8974-4da8e983a112","confluence","2025-02-14 09:56:46.401455"
6932,52,"DragonCard","Карты","#DragonCard картасымен банкоматтар/АТТ арқылы қолма-қол ақшасыз төлемдер жасауға комиссия қандай?","#DragonCard картасымен банкоматтар/АТТ арқылы қолма-қол ақшасыз төлемдер жасауға комиссия сомасы 1 төлемге 50 KZT құрайды.","kz","payments","https://kb.apps.bcc.kz/pages/viewpage.action?pageId=245186271","5a4fe429-01f8-4872-8e57-f231a1897897","confluence","2025-04-25 17:16:29"
169493,21,"Ipoteka","Кредиты","Сколько гарантов может быть по #Ипотеке/Ипотеке+?","При оформлении #Ипотеки/Ипотеки+ можно привлечь до четырех гарантов.","ru","opening","https://kb.apps.bcc.kz/pages/viewpage.action?pageId=220457486","080cf8a6-4f0f-4f16-a6c1-149d863084f4","confluence","2025-05-27 10:29:20"
168563,54,"bccpay_2_0","Карты","В каких отделениях открывают цифровую карту BCC PAY?","Вы можете обратиться в ближайшее отделение банка https://www.bcc.kz/branches-and-atms/ для открытия карты.","ru","opening","https://kb.apps.bcc.kz/pages/viewpage.action?pageId=230721761","528ed76e-2504-426c-95e4-b2e1e832582e","confluence","2025-04-10 02:03:01"
168904,56,"Smart_QR","Smart QR","Smart QR несиелеріне арналған сыйақы мөлшерлемелері қандай?","Smart QR стандартты қарыздары бойынша сыйақы мөлшерлемесі: \n \u25ab3 айға — 34%, ЖТСМ 41,6%, \n \u25ab6 айға — 37%, ЖТСМ 45,0%, \n \u25ab12 айға — 40%, ЖТСМ 48,7%, \n \u25ab24 айға — 41%, ЖТСМ 49,8%, \n \u25ab42 айға — 42%, ЖТСМ 51,2%. \nБөліп төлеу қарыздары бойынша сыйақы мөлшерлемесі — 0,01%, мерзіміне қарамастан.","kz","undefined","https://kb.apps.bcc.kz/pages/viewpage.action?pageId=239077909","5f7145b4-cee7-4064-81a2-fbe38b32f965","confluence","2025-04-15 09:38:02.622907"
